id,price,number_of_reviews,No_of_days_booked_per_year,occupany_rate
18864906,45,22,66.0,18.0
18865094,45,0,0.0,0.0
18865353,117,50,157.0,43.0
18878278,100,135,255.0,70.0
18878813,49,0,0.0,0.0
18878934,141,170,255.0,70.0
18879874,36,4,255.0,70.0
18880324,70,1,4.0,1.0
18880423,250,124,255.0,70.0
18881346,60,4,15.0,4.0
18883597,280,84,197.0,54.0
18884030,197,95,215.0,59.0
18884447,60,1,6.0,1.7
18889598,70,1,4.0,1.0
18895411,199,49,124.0,34.0
18896276,36,8,33.0,9.0
18896964,25,0,0.0,0.0
18897127,240,3,18.0,5.0
18899468,161,29,47.0,13.0
18900255,99,0,0.0,0.0
18900665,49,3,11.0,3.0
18900707,155,61,91.0,25.0
18900974,60,0,0.0,0.0
18901703,36,2,7.0,2.0
18902657,70,85,175.0,48.0
18902669,250,42,73.0,20.0
18904256,76,7,29.0,8.0
18905293,401,3,11.0,3.0
18905468,28,1,4.0,1.0
18905665,51,5,18.0,5.0
18907050,90,39,157.0,43.0
18907361,175,3,11.0,3.0
18914636,65,2,7.0,2.0
18915757,210,4,11.0,3.0
18916763,43,131,255.0,70.0
18917007,62,9,39.0,10.7
18917543,99,76,128.0,35.0
18924096,150,87,241.0,66.0
18924332,130,3,11.0,3.0
18924608,150,74,168.0,46.0
18924886,138,32,66.0,18.0
18927157,206,57,146.0,40.0
18932344,97,157,255.0,70.0
18935380,39,5,22.0,6.0
18935386,115,0,0.0,0.0
18935767,100,79,172.0,47.0
18936679,110,0,0.0,0.0
18938185,130,10,33.0,9.0
18939548,136,23,69.0,19.0
18939882,60,0,0.0,0.0
18948683,26,33,69.0,19.0
18949241,80,0,0.0,0.0
18950103,250,3,18.0,5.0
18950578,90,0,0.0,0.0
18952686,76,103,204.0,56.0
18953284,219,15,40.0,11.0
18953659,105,0,0.0,0.0
18953718,42,2,7.0,2.0
18954616,37,35,62.0,17.0
18954875,28,4,18.0,5.0
18955339,65,4,7.0,2.0
18956042,80,3,11.0,3.0
18962142,42,8,7.0,2.0
18962289,130,1,10.0,2.7
18963518,49,2,12.0,3.3
18963522,60,10,44.0,12.0
18963598,164,106,234.0,64.0
18963774,49,30,55.0,15.0
18964034,175,24,51.0,14.0
18964102,70,0,0.0,0.0
18965173,81,3,26.0,7.0
18965442,107,158,255.0,70.0
18965935,349,6,26.0,7.0
18966289,300,84,190.0,52.0
18968744,119,4,18.0,5.0
18973120,40,0,0.0,0.0
18977183,110,55,150.0,41.0
18979772,40,13,55.0,15.0
18979814,155,0,0.0,0.0
18980041,110,4,15.0,4.0
18980561,94,4,15.0,4.0
18981731,125,4,15.0,4.0
18983967,66,9,37.0,10.0
18984371,141,100,150.0,41.0
18986483,48,0,0.0,0.0
18992473,51,0,0.0,0.0
18998234,80,1,4.0,1.0
18998765,66,1,4.0,1.0
19000646,39,0,0.0,0.0
19001525,246,25,80.0,22.0
19004113,165,0,0.0,0.0
19004301,80,4,15.0,4.0
19005361,53,11,44.0,12.0
19005544,70,0,0.0,0.0
19020797,90,74,164.0,45.0
19022320,559,29,73.0,20.0
19023326,90,37,91.0,25.0
19026383,40,107,219.0,60.0
19026684,39,136,179.0,49.0
19029720,99,1,12.0,3.3
19036445,80,0,0.0,0.0
19037470,49,1,4.0,1.0
19037691,81,0,0.0,0.0
19039135,110,7,33.0,9.0
19040009,121,29,66.0,18.0
19040407,56,4,15.0,4.0
19040486,130,51,243.0,66.7
19040488,49,2,12.0,3.3
19040527,121,20,44.0,12.0
19040739,90,26,83.0,22.7
19041679,45,0,0.0,0.0
19043086,250,3,11.0,3.0
19045058,85,1,4.0,1.0
19055100,110,45,102.0,28.0
19055806,139,93,226.0,62.0
19057473,559,2,7.0,2.0
19057519,68,3,11.0,3.0
19057547,99,10,40.0,11.0
19057663,121,8,55.0,15.0
19058703,340,1,0.0,0.0
19058729,40,3,183.0,50.0
19062248,199,8,33.0,9.0
19063555,42,0,0.0,0.0
19064840,29,4,11.0,3.0
19071720,114,0,0.0,0.0
19073960,70,0,0.0,0.0
19075523,141,0,0.0,0.0
19076881,99,0,0.0,0.0
19085415,100,1,7.0,2.0
19086178,66,1,7.0,2.0
19086418,120,4,18.0,5.0
19086798,49,15,255.0,70.0
19086826,45,58,131.0,36.0
19087501,93,3,34.0,9.3
19087505,250,8,47.0,13.0
19088053,128,0,0.0,0.0
19089065,121,1,4.0,1.0
19090591,49,0,0.0,0.0
19093438,161,2,7.0,2.0
19095183,43,51,66.0,18.0
19095897,42,74,88.0,24.0
19100252,117,68,219.0,60.0
19101342,226,1,0.0,0.0
19102260,280,2,7.0,2.0
19102343,150,14,62.0,17.0
19102406,181,140,255.0,70.0
19103439,66,0,0.0,0.0
19103564,401,2,0.0,0.0
19103787,150,157,255.0,70.0
19104280,114,10,43.0,11.7
19107790,32,0,0.0,0.0
19121343,141,60,142.0,39.0
19121944,39,2,7.0,2.0
19122394,151,12,26.0,7.0
19123982,80,0,0.0,0.0
19127239,85,84,164.0,45.0
19128303,40,3,18.0,5.0
19129380,40,1,18.0,5.0
19129838,62,92,255.0,70.0
19132259,110,0,0.0,0.0
19133227,179,72,168.0,46.0
19141509,46,1,5.0,1.3
19142613,179,73,201.0,55.0
19145722,155,96,106.0,29.0
19146768,53,8,33.0,9.0
19148842,121,0,0.0,0.0
19150632,29,3,0.0,0.0
19151205,81,190,255.0,70.0
19160696,99,0,0.0,0.0
19163110,250,85,241.0,66.0
19164557,107,2,17.0,4.7
19166611,76,124,255.0,70.0
19168104,90,5,11.0,3.0
19169524,80,8,4.0,1.0
19170169,219,61,128.0,35.0
19180687,71,95,146.0,40.0
19180726,130,144,255.0,70.0
19180745,39,2,7.0,2.0
19181154,68,1,27.0,7.3
19182816,56,0,0.0,0.0
19183447,65,0,0.0,0.0
19183948,70,12,47.0,13.0
19185031,49,0,0.0,0.0
19186437,36,24,110.0,30.0
19187108,60,129,255.0,70.0
19187114,40,10,29.0,8.0
19196147,60,12,51.0,14.0
19197226,150,0,0.0,0.0
19200148,29,2,7.0,2.0
19202110,199,19,47.0,13.0
19202969,121,140,255.0,70.0
19203574,105,35,146.0,40.0
19203692,90,2,0.0,0.0
19211351,65,6,26.0,7.0
19211682,161,2,24.0,6.7
19212046,36,15,33.0,9.0
19212076,90,104,255.0,70.0
19212431,158,227,255.0,70.0
19212713,49,18,62.0,17.0
19213646,90,2,7.0,2.0
19214764,130,0,0.0,0.0
19215166,80,17,69.0,19.0
19215742,25,0,0.0,0.0
19215857,85,0,0.0,0.0
19217026,250,17,33.0,9.0
19217982,63,11,73.0,20.0
19226233,76,6,26.0,7.0
19226814,121,110,168.0,46.0
19229110,94,17,58.0,16.0
19229163,45,1,5.0,1.3
19229466,60,4,18.0,5.0
19230712,709,26,117.0,32.0
19233615,750,6,49.0,13.3
19233688,114,54,150.0,41.0
19233768,39,0,0.0,0.0
19234870,56,2,7.0,2.0
19234966,49,0,0.0,0.0
19246823,199,18,58.0,16.0
19248078,130,0,0.0,0.0
19248357,89,73,248.0,68.0
19251152,114,0,0.0,0.0
19252771,28,7,26.0,7.0
19255816,90,10,44.0,12.0
19256359,96,117,255.0,70.0
19256708,65,6,18.0,5.0
19256711,179,157,255.0,70.0
19257377,80,100,219.0,60.0
19257750,150,9,40.0,11.0
19260718,76,0,0.0,0.0
19271804,138,105,230.0,63.0
19272578,56,15,44.0,12.0
19273104,99,14,58.0,16.0
19276230,801,10,37.0,10.0
19278661,80,2,7.0,2.0
19289504,600,0,0.0,0.0
19291553,141,160,255.0,70.0
19297430,34,0,0.0,0.0
19298156,138,0,0.0,0.0
19298301,114,5,22.0,6.0
19298646,250,121,255.0,70.0
19298650,300,12,47.0,13.0
19298900,42,106,245.0,67.0
19299993,49,0,0.0,0.0
19300136,60,1,17.0,4.7
19301725,60,0,0.0,0.0
19302349,99,3,11.0,3.0
19305193,100,0,0.0,0.0
19316693,200,3,11.0,3.0
19318545,105,4,18.0,5.0
19319070,70,5,22.0,6.0
19319151,179,108,255.0,70.0
19319174,39,4,15.0,4.0
19321075,48,9,67.0,18.3
19330730,100,3,15.0,4.0
19332199,80,4,18.0,5.0
19333389,64,54,80.0,22.0
19334286,110,79,255.0,70.0
19334354,49,0,0.0,0.0
19334912,246,33,91.0,25.0
19339435,100,0,0.0,0.0
19341720,318,32,99.0,27.0
19343307,80,0,0.0,0.0
19347262,196,26,77.0,21.0
19347434,60,21,84.0,23.0
19347755,145,37,183.0,50.0
19348616,164,0,0.0,0.0
19348635,405,25,88.0,24.0
19350646,226,72,201.0,55.0
19350967,80,2,7.0,2.0
19351230,210,37,55.0,15.0
19352068,121,0,0.0,0.0
19353868,159,184,255.0,70.0
19354224,53,110,234.0,64.0
19361603,250,13,26.0,7.0
19363701,76,6,26.0,7.0
19365381,59,2,7.0,2.0
19366709,90,68,11.0,3.0
19367507,50,0,0.0,0.0
19367651,25,1,4.0,1.0
19368015,49,12,40.0,11.0
19368802,199,139,255.0,70.0
19369703,100,17,73.0,20.0
19371781,33,0,0.0,0.0
19372535,81,0,0.0,0.0
19372824,119,23,37.0,10.0
19373057,57,20,84.0,23.0
19373806,29,0,0.0,0.0
19374075,184,1,12.0,3.3
19374869,60,2,7.0,2.0
19374954,150,61,146.0,40.0
19386337,139,28,91.0,25.0
19391071,80,1,4.0,1.0
19391276,125,82,146.0,40.0
19393817,247,39,73.0,20.0
19394112,138,14,58.0,16.0
19396183,25,0,0.0,0.0
19399598,148,26,110.0,30.0
19403000,45,2,26.0,7.0
19403139,94,59,146.0,40.0
19412671,250,18,40.0,11.0
19413523,240,12,33.0,9.0
19413762,159,22,37.0,10.0
19415890,76,37,113.0,31.0
19416385,36,6,40.0,11.0
19418115,92,0,0.0,0.0
19418152,199,0,0.0,0.0
19421613,97,32,22.0,6.0
19422209,100,0,0.0,0.0
19425068,199,28,117.0,32.0
19425556,70,0,0.0,0.0
19429450,270,92,252.0,69.0
19437231,100,1,4.0,1.0
19437914,141,46,113.0,31.0
19438857,801,76,215.0,59.0
19439467,36,0,0.0,0.0
19439686,138,12,62.0,17.0
19439750,138,32,117.0,32.0
19441751,110,0,0.0,0.0
19443333,83,57,183.0,50.0
19444419,94,55,146.0,40.0
19446197,60,0,0.0,0.0
19446932,56,5,22.0,6.0
19446938,29,2,7.0,2.0
19448124,240,104,255.0,70.0
19449871,349,2,0.0,0.0
19455563,15001,0,0.0,0.0
19457641,695,55,120.0,33.0
19458446,36,0,0.0,0.0
19458734,150,95,255.0,70.0
19460205,128,149,255.0,70.0
19460393,25,37,124.0,34.0
19460851,99,80,172.0,47.0
19461620,37,1,219.0,60.0
19466297,46,24,73.0,20.0
19467781,40,0,0.0,0.0
19474849,65,28,146.0,40.0
19476028,49,1,4.0,1.0
19477380,389,21,33.0,9.0
19477416,600,27,18.0,5.0
19484223,110,88,248.0,68.0
19490584,110,0,0.0,0.0
19490757,65,454,255.0,70.0
19491397,108,71,234.0,64.0
19491589,36,3,11.0,3.0
19492999,80,193,255.0,70.0
19495371,60,2,24.0,6.7
19506043,105,135,255.0,70.0
19507283,110,111,255.0,70.0
19507448,60,5,26.0,7.0
19507631,109,4,24.0,6.7
19508172,130,2,7.0,2.0
19508380,109,6,24.0,6.7
19508980,148,152,255.0,70.0
19512123,91,2,7.0,2.0
19513511,99,0,0.0,0.0
19514839,130,0,0.0,0.0
19518167,49,38,91.0,25.0
19531064,25,1,12.0,3.3
19532074,128,1,4.0,1.0
19533222,199,83,230.0,63.0
19533524,100,27,175.0,48.0
19535917,70,7,33.0,9.0
19539544,100,187,255.0,70.0
19539670,124,177,255.0,70.0
19540039,94,12,119.0,32.7
19544628,53,1,22.0,6.0
19554209,66,5,22.0,6.0
19554230,49,0,0.0,0.0
19555666,110,70,223.0,61.0
19557084,56,6,110.0,30.0
19557240,94,13,55.0,15.0
19557439,340,12,33.0,9.0
19557638,128,97,248.0,68.0
19562739,155,148,255.0,70.0
19562762,110,0,0.0,0.0
19563604,63,7,18.0,5.0
19571357,90,0,0.0,0.0
19573376,141,0,0.0,0.0
19573830,600,46,113.0,31.0
19573934,98,117,255.0,70.0
19574709,70,16,40.0,11.0
19574790,45,0,0.0,0.0
19575337,97,2,11.0,3.0
19575444,104,1,4.0,1.0
19578430,46,4,43.0,11.7
19580225,49,86,157.0,43.0
19580730,60,1,0.0,0.0
19592830,130,115,255.0,70.0
19593370,161,67,234.0,64.0
19594576,121,86,183.0,50.0
19595011,49,20,84.0,23.0
19595821,184,76,179.0,49.0
19596174,399,51,131.0,36.0
19596797,70,11,47.0,13.0
19600618,119,45,88.0,24.0
19610101,70,5,33.0,9.0
19610440,150,2,7.0,2.0
19611105,121,54,135.0,37.0
19611196,121,5,22.0,6.0
19612551,53,1,5.0,1.3
19613462,250,12,58.0,16.0
19613913,54,19,88.0,24.0
19614270,275,4,18.0,5.0
19614628,53,0,0.0,0.0
19614652,60,60,164.0,45.0
19624857,80,162,255.0,70.0
19625647,94,0,0.0,0.0
19625770,49,6,22.0,6.0
19626188,300,1,7.0,2.0
19626595,110,11,80.0,22.0
19626741,63,15,66.0,18.0
19629965,40,0,0.0,0.0
19630306,94,109,255.0,70.0
19630930,100,0,0.0,0.0
19630943,100,225,255.0,70.0
19631066,120,4,24.0,6.7
19632436,49,35,58.0,16.0
19643421,49,10,44.0,12.0
19643898,240,28,95.0,26.0
19643941,81,1,15.0,4.0
19644120,100,227,255.0,70.0
19646314,70,12,91.0,25.0
19648696,219,103,212.0,58.0
19649724,121,120,237.0,65.0
19655140,61,50,230.0,63.0
19660878,36,24,145.0,39.7
19660929,145,82,131.0,36.0
19662317,229,27,62.0,17.0
19664375,219,27,73.0,20.0
19665462,179,0,0.0,0.0
19666887,70,0,0.0,0.0
19668610,150,0,0.0,0.0
19679715,39,23,110.0,30.0
19679903,94,16,73.0,20.0
19680066,120,0,0.0,0.0
19680708,121,45,146.0,40.0
19681367,90,10,44.0,12.0
19681569,250,21,77.0,21.0
19681980,40,1,4.0,1.0
19682200,175,13,85.0,23.3
19682509,93,85,234.0,64.0
19682635,200,21,66.0,18.0
19684009,36,132,255.0,70.0
19684083,77,32,58.0,16.0
19684753,155,208,255.0,70.0
19687302,121,22,55.0,15.0
19694133,165,64,99.0,27.0
19700753,179,2,0.0,0.0
19701538,240,2,0.0,0.0
19701850,121,67,161.0,44.0
19702490,991,40,66.0,18.0
19703013,99,58,146.0,40.0
19703354,66,64,164.0,45.0
19704526,209,37,84.0,23.0
19704948,195,25,95.0,26.0
19706091,206,14,47.0,13.0
19707390,100,7,44.0,12.0
19709300,97,80,255.0,70.0
19709924,42,8,33.0,9.0
19720192,76,0,0.0,0.0
19720654,189,75,215.0,59.0
19723130,114,17,55.0,15.0
19723195,80,5,73.0,20.0
19728830,105,57,153.0,42.0
19736706,116,65,168.0,46.0
19736750,49,1,4.0,1.0
19738183,400,16,73.0,20.0
19739082,96,43,128.0,35.0
19739815,85,10,26.0,7.0
19740331,60,7,37.0,10.0
19740370,162,0,0.0,0.0
19740844,90,95,255.0,70.0
19741522,100,132,255.0,70.0
19741934,144,76,223.0,61.0
19742007,70,0,0.0,0.0
19742411,128,114,255.0,70.0
19742441,60,3,15.0,4.0
19742462,94,21,113.0,31.0
19743991,40,34,77.0,21.0
19751390,144,256,255.0,70.0
19751625,70,114,255.0,70.0
19751761,48,68,157.0,43.0
19751774,93,2,17.0,4.7
19752294,260,16,69.0,19.0
19752576,93,37,84.0,23.0
19752952,45,43,150.0,41.0
19753290,168,197,255.0,70.0
19753375,345,6,26.0,7.0
19753391,150,48,110.0,30.0
19753968,145,17,22.0,6.0
19754261,151,39,117.0,32.0
19754398,60,0,0.0,0.0
19754700,36,3,15.0,4.0
19755790,128,148,255.0,70.0
19757839,60,3,15.0,4.0
19767007,189,2,255.0,70.0
19767693,114,1,4.0,1.0
19767938,227,73,157.0,43.0
19768062,179,14,40.0,11.0
19769076,121,43,131.0,36.0
19769406,147,0,0.0,0.0
19769940,39,22,80.0,22.0
19769962,127,23,62.0,17.0
19770077,593,5,0.0,0.0
19770776,99,5,61.0,16.7
19772445,450,0,0.0,0.0
19773163,76,16,7.0,2.0
19775791,117,42,91.0,25.0
19776779,130,204,255.0,70.0
19790066,799,57,131.0,36.0
19790889,90,31,91.0,25.0
19791803,70,48,161.0,44.0
19792251,49,0,0.0,0.0
19792278,80,221,255.0,70.0
19795258,100,2,7.0,2.0
19808575,107,45,80.0,22.0
19808696,130,1,0.0,0.0
19811184,1023,2,37.0,10.0
19812031,76,1,7.0,2.0
19812193,175,29,213.0,58.3
19812415,141,3,34.0,9.3
19812511,76,1,4.0,1.0
19813115,110,3,4.0,1.0
19814920,121,0,0.0,0.0
19817341,277,6,15.0,4.0
19817590,219,1,4.0,1.0
19821624,121,4,18.0,5.0
19823945,121,58,113.0,31.0
19827706,159,49,77.0,21.0
19829854,90,109,252.0,69.0
19829922,49,0,0.0,0.0
19830055,90,1,24.0,6.7
19832436,255,82,229.0,62.7
19838958,298,0,0.0,0.0
19846972,150,25,84.0,23.0
19847150,49,0,0.0,0.0
19847333,199,134,255.0,70.0
19850062,99,0,0.0,0.0
19855764,31,139,255.0,70.0
19863541,99,14,34.0,9.3
19863552,45,17,29.0,8.0
19863916,340,117,255.0,70.0
19864528,100,22,58.0,16.0
19864963,100,0,0.0,0.0
19865046,90,99,252.0,69.0
19865166,150,0,0.0,0.0
19865446,110,102,234.0,64.0
19866225,144,8,22.0,6.0
19867823,68,9,44.0,12.0
19870807,180,126,255.0,70.0
19879551,85,0,0.0,0.0
19879713,150,3,15.0,4.0
19880669,65,40,153.0,42.0
19882691,2998,0,0.0,0.0
19884138,700,5,22.0,6.0
19884368,179,58,110.0,30.0
19892863,90,35,150.0,41.0
19894566,110,173,255.0,70.0
19895209,85,19,95.0,26.0
19896197,198,87,255.0,70.0
19899533,210,35,153.0,42.0
19900147,90,0,0.0,0.0
19900223,199,0,0.0,0.0
19911036,275,0,0.0,0.0
19913243,90,49,131.0,36.0
19913356,284,4,18.0,5.0
19914104,80,5,26.0,7.0
19919998,51,10,73.0,20.0
19920507,85,1,10.0,2.7
19920943,134,26,117.0,32.0
19932324,158,99,248.0,68.0
19933547,94,28,15.0,4.0
19934660,104,85,183.0,50.0
19937463,109,74,255.0,70.0
19943451,53,4,18.0,5.0
19951999,28,4,22.0,6.0
19952061,399,2,26.0,7.0
19952926,50,1,4.0,1.0
19953543,179,6,33.0,9.0
19953909,199,19,18.0,5.0
19953989,76,33,142.0,39.0
19955155,134,115,252.0,69.0
19958036,76,15,59.0,16.3
19958339,65,9,26.0,7.0
19959053,168,15,58.0,16.0
19959898,380,2,7.0,2.0
19968215,61,0,0.0,0.0
19970598,81,12,22.0,6.0
19972159,70,108,255.0,70.0
19972314,87,8,37.0,10.0
19974426,141,58,175.0,48.0
19974957,260,109,255.0,70.0
19974964,110,34,80.0,22.0
19975320,65,8,18.0,5.0
19975321,40,0,0.0,0.0
19975411,99,41,150.0,41.0
19975492,56,14,44.0,12.0
19977518,110,96,212.0,58.0
19978329,105,5,22.0,6.0
19981239,105,24,55.0,15.0
19985498,100,8,77.0,21.0
19986241,88,14,62.0,17.0
19986752,130,80,161.0,44.0
19987325,49,2,11.0,3.0
19987450,60,3,11.0,3.0
19987621,99,28,77.0,21.0
19989508,120,49,88.0,24.0
19989578,349,0,0.0,0.0
19999362,37,26,117.0,32.0
20000022,97,80,197.0,54.0
20000040,60,8,29.0,8.0
20000241,85,35,69.0,19.0
20001097,150,100,208.0,57.0
20001725,36,1,4.0,1.0
20001798,141,62,168.0,46.0
20002176,94,12,77.0,21.0
20003256,110,30,120.0,33.0
20003767,59,1,4.0,1.0
20004507,127,140,255.0,70.0
20005140,121,3,15.0,4.0
20013584,68,0,0.0,0.0
20015635,298,2,11.0,3.0
20016427,76,121,255.0,70.0
20017658,85,32,190.0,52.0
20017949,53,12,43.0,11.7
20018105,39,41,77.0,21.0
20018542,80,20,55.0,15.0
20020068,219,12,44.0,12.0
20021632,56,2,11.0,3.0
20022471,76,3,26.0,7.0
20022685,65,8,34.0,9.3
20022861,76,15,6.0,1.7
20023048,76,25,128.0,35.0
20023719,179,51,150.0,41.0
20024380,76,10,44.0,12.0
20026572,70,0,0.0,0.0
20034449,214,2,0.0,0.0
20034620,159,73,164.0,45.0
20036099,110,160,255.0,70.0
20039154,110,2,10.0,2.7
20039548,110,2,5.0,1.3
20042811,60,107,255.0,70.0
20043255,70,2,10.0,2.7
20044219,70,13,58.0,16.0
20045038,99,0,0.0,0.0
20055355,28,2,7.0,2.0
20056522,39,2,15.0,4.0
20057314,130,30,88.0,24.0
20059475,45,8,47.0,13.0
20061637,121,18,80.0,22.0
20062329,121,61,161.0,44.0
20063532,36,0,0.0,0.0
20066675,62,0,0.0,0.0
20074188,128,108,255.0,70.0
20076860,37,3,15.0,4.0
20076925,385,23,58.0,16.0
20077331,500,2,17.0,4.7
20080243,36,0,0.0,0.0
20082103,148,119,255.0,70.0
20093386,161,93,255.0,70.0
20093630,190,21,44.0,12.0
20093814,49,152,255.0,70.0
20094111,96,182,255.0,70.0
20094213,90,18,77.0,21.0
20094755,65,66,175.0,48.0
20095002,60,62,179.0,49.0
20095865,49,73,190.0,52.0
20096293,28,1,4.0,1.0
20108119,100,134,255.0,70.0
20125302,53,0,0.0,0.0
20125416,110,39,99.0,27.0
20125686,255,25,49.0,13.3
20127228,295,19,51.0,14.0
20129850,40,14,66.0,18.0
20131450,125,61,190.0,52.0
20138226,57,91,179.0,49.0
20138766,150,205,255.0,70.0
20139645,90,23,88.0,24.0
20140048,120,6,37.0,10.0
20140291,82,39,91.0,25.0
20141012,100,45,84.0,23.0
20141224,87,22,77.0,21.0
20141728,93,49,135.0,37.0
20141929,134,0,0.0,0.0
20142522,89,42,113.0,31.0
20142814,150,29,145.0,39.7
20144225,325,3,5.0,1.3
20144587,199,0,0.0,0.0
20145292,161,108,255.0,70.0
20145501,219,144,255.0,70.0
20154326,501,89,245.0,67.0
20156960,199,25,69.0,19.0
20159296,32,2,18.0,5.0
20161434,99,0,0.0,0.0
20161589,159,11,26.0,7.0
20162554,99,58,139.0,38.0
20163482,49,2,37.0,10.0
20165281,80,0,0.0,0.0
20172627,179,49,113.0,31.0
20175335,17,1,4.0,1.0
20175574,80,1,11.0,3.0
20177663,93,16,33.0,9.0
20193681,68,6,0.0,0.0
20193771,189,49,113.0,31.0
20193968,88,1,0.0,0.0
20194231,121,0,0.0,0.0
20194743,100,141,255.0,70.0
20194806,32,18,69.0,19.0
20195655,99,0,0.0,0.0
20196550,80,9,40.0,11.0
20197298,99,40,55.0,15.0
20197634,32,8,37.0,10.0
20214802,39,32,255.0,70.0
20214811,128,29,170.0,46.7
20215444,141,137,255.0,70.0
20215761,125,0,0.0,0.0
20216453,94,21,99.0,27.0
20217427,110,127,255.0,70.0
20221249,76,11,94.0,25.7
20222953,88,3,11.0,3.0
20223046,76,6,8.0,2.3
20233108,45,6,0.0,0.0
20233922,121,100,255.0,70.0
20234053,76,110,255.0,70.0
20234115,51,116,255.0,70.0
20234360,150,13,58.0,16.0
20234397,179,101,255.0,70.0
20234595,170,89,215.0,59.0
20234974,94,4,24.0,6.7
20235205,121,67,161.0,44.0
20235336,26,0,0.0,0.0
20235909,179,87,139.0,38.0
20236151,445,2,11.0,3.0
20241636,80,2,11.0,3.0
20241641,61,1,7.0,2.0
20256600,773,63,179.0,49.0
20258730,59,121,245.0,67.0
20269488,291,0,0.0,0.0
20272532,100,6,17.0,4.7
20273549,45,1,4.0,1.0
20273981,74,121,113.0,31.0
20274961,48,0,0.0,0.0
20275181,651,1,0.0,0.0
20275795,45,1,4.0,1.0
20276328,28,43,99.0,27.0
20276638,22,1,4.0,1.0
20277724,54,3,7.0,2.0
20283742,391,3,7.0,2.0
20285050,99,61,142.0,39.0
20286562,76,52,131.0,36.0
20288072,65,108,255.0,70.0
20288697,121,22,69.0,19.0
20289232,49,1,4.0,1.0
20289375,130,188,255.0,70.0
20290190,81,77,208.0,57.0
20309503,100,5,26.0,7.0
20309709,141,34,22.0,6.0
20309949,65,0,0.0,0.0
20310684,56,138,255.0,70.0
20316055,100,92,201.0,55.0
20318875,121,8,37.0,10.0
20321693,145,18,55.0,15.0
20329538,161,42,113.0,31.0
20332778,93,55,252.0,69.0
20333233,300,40,157.0,43.0
20333305,90,15,77.0,21.0
20333917,39,8,40.0,11.0
20335661,60,4,18.0,5.0
20343905,65,8,34.0,9.3
20347651,76,7,26.0,7.0
20347835,65,33,91.0,25.0
20348646,349,0,0.0,0.0
20360823,61,2,17.0,4.7
20362711,298,26,73.0,20.0
20363140,148,60,146.0,40.0
20363701,190,114,255.0,70.0
20364005,90,73,146.0,40.0
20365776,65,0,0.0,0.0
20366877,40,3,33.0,9.0
20371019,0,36,95.0,26.0
20371983,65,9,102.0,28.0
20372805,97,78,168.0,46.0
20375841,150,35,84.0,23.0
20375992,59,68,95.0,26.0
20378417,399,4,15.0,4.0
20379555,128,160,255.0,70.0
20394353,397,12,62.0,17.0
20397121,50,4,18.0,5.0
20397887,70,20,44.0,12.0
20398115,295,17,44.0,12.0
20400922,250,2,11.0,3.0
20404605,60,0,0.0,0.0
20411350,230,100,245.0,67.0
20411493,36,0,0.0,0.0
20411597,36,6,29.0,8.0
20411687,141,28,113.0,31.0
20411734,130,52,102.0,28.0
20412193,501,0,0.0,0.0
20412389,141,46,95.0,26.0
20412825,100,0,0.0,0.0
20416424,199,0,0.0,0.0
20418769,56,31,117.0,32.0
20419789,49,2,11.0,3.0
20424677,114,35,91.0,25.0
20424799,150,4,22.0,6.0
20424851,179,2,34.0,9.3
20426411,40,3,15.0,4.0
20426415,80,10,40.0,11.0
20426912,105,247,255.0,70.0
20427582,94,2,77.0,21.0
20428856,121,115,204.0,56.0
20428858,76,35,110.0,30.0
20429119,131,21,162.0,44.3
20429137,264,3,7.0,2.0
20430151,99,6,24.0,6.7
20430240,127,0,0.0,0.0
20430343,54,0,0.0,0.0
20430415,74,0,0.0,0.0
20430526,36,36,106.0,29.0
20430549,79,2,15.0,4.0
20430613,39,4,22.0,6.0
20439836,93,126,255.0,70.0
20440961,60,0,0.0,0.0
20441160,425,2,94.0,25.7
20442022,142,70,91.0,25.0
20442834,175,9,29.0,8.0
20443101,99,61,146.0,40.0
20444266,65,104,230.0,63.0
20446300,300,0,0.0,0.0
20446666,105,21,88.0,24.0
20447658,380,0,0.0,0.0
20448313,179,0,0.0,0.0
20456490,389,8,73.0,20.0
20457561,270,0,0.0,0.0
20458129,99,106,212.0,58.0
20459592,114,46,168.0,46.0
20460551,399,7,62.0,17.0
20460728,70,4,18.0,5.0
20461382,127,89,193.0,53.0
20461427,119,74,248.0,68.0
20462029,85,0,0.0,0.0
20463070,76,0,0.0,0.0
20465137,36,0,0.0,0.0
20479724,141,182,255.0,70.0
20481395,121,0,0.0,0.0
20488099,70,1,7.0,2.0
20489286,100,27,131.0,36.0
20489321,79,1,4.0,1.0
20490447,97,99,241.0,66.0
20491804,140,1,4.0,1.0
20503633,150,0,0.0,0.0
20505479,68,3,15.0,4.0
20505862,76,54,186.0,51.0
20506277,99,24,77.0,21.0
20506372,90,96,201.0,55.0
20507158,131,77,161.0,44.0
20507261,105,148,255.0,70.0
20507531,161,66,168.0,46.0
20507918,199,46,95.0,26.0
20509503,119,27,153.0,42.0
20526666,63,118,237.0,65.0
20526915,64,132,255.0,70.0
20538707,160,30,44.0,12.0
20542069,70,42,91.0,25.0
20543748,95,0,0.0,0.0
20546091,85,5,34.0,9.3
20548969,141,62,161.0,44.0
20558221,40,2,11.0,3.0
20558310,195,5,26.0,7.0
20558574,45,0,0.0,0.0
20558625,32,26,91.0,25.0
20559436,349,2,18.0,5.0
