id,price,number_of_reviews,No_of_days_booked_per_year,occupany_rate
2320781,76,32,40.0,11.0
2321003,250,3,15.0,4.0
2327860,99,195,172.0,47.0
2333152,192,123,117.0,32.0
2333255,671,48,33.0,9.0
2334567,84,215,255.0,70.0
2339515,250,1,34.0,9.3
2352336,139,81,84.0,23.0
2352379,76,5,18.0,5.0
2356768,100,3,4.0,1.0
2357753,199,11,15.0,4.0
2357769,349,59,62.0,17.0
2361740,199,26,49.0,13.3
2362298,179,17,7.0,2.0
2362450,250,4,5.0,1.3
2368779,90,0,0.0,0.0
2369668,168,45,58.0,16.0
2374619,145,15,18.0,5.0
2381208,185,4,6.0,1.7
2387261,85,103,120.0,33.0
2387302,179,44,55.0,15.0
2387459,150,10,18.0,5.0
2396898,295,12,15.0,4.0
2398060,119,263,255.0,70.0
2405220,114,49,161.0,44.0
2406567,195,39,33.0,9.0
2406621,56,204,190.0,52.0
2413411,90,89,91.0,25.0
2416476,61,0,0.0,0.0
2419620,73,61,69.0,19.0
2419661,150,0,0.0,0.0
2419713,280,32,22.0,6.0
2426659,114,78,102.0,28.0
2427366,300,57,80.0,22.0
2427388,260,124,124.0,34.0
2428212,110,125,131.0,36.0
2432350,199,22,43.0,11.7
2446736,125,144,139.0,38.0
2447164,124,1,4.0,1.0
2447695,63,87,91.0,25.0
2447957,99,110,189.0,51.7
2448043,195,22,44.0,12.0
2448210,121,152,183.0,50.0
2448471,80,4,11.0,3.0
2449576,110,641,255.0,70.0
2454156,87,121,146.0,40.0
2455203,212,28,49.0,13.3
2463215,94,139,131.0,36.0
2468742,94,155,146.0,40.0
2478171,63,17,26.0,7.0
2485201,103,47,69.0,19.0
2488882,94,39,201.0,55.0
2497174,189,35,29.0,8.0
2504938,165,22,29.0,8.0
2509366,128,201,197.0,54.0
2509427,49,83,73.0,20.0
2509570,179,30,26.0,7.0
2520973,100,264,255.0,70.0
2527326,141,142,142.0,39.0
2532119,250,19,18.0,5.0
2532934,600,108,120.0,33.0
2533216,250,10,15.0,4.0
2533320,125,71,88.0,24.0
2540820,134,162,197.0,54.0
2546309,175,16,22.0,6.0
2550062,63,92,106.0,29.0
2553316,139,180,186.0,51.0
2554560,80,15,26.0,7.0
2555881,70,24,66.0,18.0
